id,age,click,full_name,gender,device_type,ad_position,browsing_history,time_of_day
670.0,22.0,1.0,User670,Female,Desktop,Top,Shopping,Afternoon
3044.0,34.0,1.0,User3044,Male,Desktop,Top,Entertainment,Morning
5912.0,41.0,1.0,User5912,Non-Binary,Desktop,Side,Education,Night
5418.0,34.0,1.0,User5418,Male,Desktop,Bottom,Entertainment,Evening
9452.0,39.0,0.0,User9452,Non-Binary,Desktop,Bottom,Social Media,Morning
5942.0,34.0,1.0,User5942,Non-Binary,Desktop,Bottom,Social Media,Evening
7808.0,26.0,1.0,User7808,Female,Desktop,Top,Entertainment,Morning
5065.0,40.0,0.0,User5065,Male,Mobile,Side,Entertainment,Evening
7993.0,32.6,1.0,User7993,Non-Binary,Mobile,Bottom,Social Media,Morning
4509.0,32.4,1.0,User4509,Female,Desktop,Bottom,Education,Afternoon
2595.0,48.2,1.0,User2595,Female,Desktop,Bottom,Entertainment,Morning
7466.0,47.0,1.0,User7466,Female,Mobile,Bottom,Entertainment,Afternoon
8171.0,26.6,0.0,User8171,Non-Binary,Mobile,Side,Education,Afternoon
2023.0,19.0,1.0,User2023,Female,Desktop,Bottom,Entertainment,Morning
973.0,37.0,1.0,User973,Female,Mobile,Bottom,Entertainment,Morning
7529.0,34.2,0.0,User7529,Female,Desktop,Top,Entertainment,Afternoon
8127.0,31.0,1.0,User8127,Male,Tablet,Bottom,Entertainment,Morning
188.0,56.0,1.0,User188,Female,Tablet,Bottom,News,Morning
2124.0,50.0,1.0,User2124,Male,Desktop,Top,Entertainment,Evening
7335.0,24.0,0.0,User7335,Female,Tablet,Side,Entertainment,Night
5569.0,51.2,1.0,User5569,Female,Mobile,Bottom,Entertainment,Afternoon
2272.0,52.0,1.0,User2272,Female,Tablet,Bottom,News,Morning
2722.0,39.0,1.0,User2722,Female,Desktop,Top,Entertainment,Morning
316.0,42.0,1.0,User316,Female,Desktop,Top,Entertainment,Night
9789.0,36.0,1.0,User9789,Female,Tablet,Bottom,Entertainment,Morning
4890.0,43.0,1.0,User4890,Male,Tablet,Bottom,Education,Afternoon
4994.0,62.0,0.0,User4994,Female,Mobile,Bottom,Entertainment,Night
