id,age,gender,device_type,ad_position,browsing_history,time_of_day
1741,45,2.0,1.0,0.0,0.0,3.0
6620,52,0.0,2.0,2.0,1.0,2.0
9992,36,1.0,0.0,1.0,3.0,1.0
2934,26,0.0,0.0,2.0,2.0,0.0
6100,23,1.0,0.0,0.0,3.0,3.0
5276,41,0.0,0.0,1.0,3.0,2.0
3217,48,2.0,0.0,0.0,0.0,2.0
775,45,0.0,1.0,2.0,3.0,1.0
3601,47,2.0,1.0,0.0,1.0,0.0
1529,20,0.0,1.0,2.0,1.0,0.0
1096,44,2.0,2.0,1.0,3.0,1.0
8569,37,2.0,0.0,0.0,3.0,3.0
3634,46,1.0,1.0,1.0,0.0,3.0
1305,38,0.0,2.0,2.0,2.0,3.0
6251,44,2.0,1.0,1.0,3.0,2.0
9272,50,0.0,2.0,1.0,4.0,2.0
393,36,2.0,0.0,0.0,3.0,2.0
9463,43,0.0,1.0,2.0,1.0,2.0
393,40,1.0,0.0,0.0,3.0,2.0
6274,48,2.0,2.0,2.0,3.0,0.0
2581,44,0.0,1.0,0.0,3.0,1.0
775,45,0.0,1.0,2.0,3.0,1.0
3483,20,1.0,1.0,1.0,1.0,2.0
255,31,1.0,0.0,0.0,4.0,3.0
1793,27,2.0,0.0,1.0,2.0,2.0
9496,37,1.0,1.0,0.0,4.0,3.0
7661,48,2.0,1.0,1.0,2.0,3.0
8953,37,0.0,2.0,2.0,3.0,0.0
270,40,2.0,0.0,1.0,2.0,1.0
9676,21,1.0,1.0,2.0,0.0,2.0
1454,33,0.0,2.0,2.0,2.0,2.0
2529,58,2.0,0.0,2.0,4.0,0.0
9611,41,1.0,0.0,1.0,1.0,0.0
7229,43,1.0,1.0,2.0,4.0,3.0
5520,31,2.0,0.0,0.0,0.0,0.0
6251,44,2.0,1.0,1.0,3.0,2.0
7670,54,0.0,2.0,2.0,0.0,3.0
7944,62,1.0,2.0,0.0,1.0,3.0
4483,28,2.0,0.0,2.0,2.0,1.0
8561,52,1.0,1.0,0.0,2.0,1.0
7829,47,0.0,1.0,1.0,1.0,1.0
1600,24,0.0,2.0,1.0,2.0,2.0
1269,36,1.0,1.0,0.0,4.0,3.0
9716,36,2.0,2.0,2.0,0.0,0.0
2485,57,2.0,1.0,0.0,2.0,3.0
3474,51,2.0,1.0,1.0,4.0,2.0
3803,53,0.0,1.0,2.0,0.0,2.0
7688,57,1.0,1.0,2.0,2.0,1.0
9087,52,0.0,1.0,0.0,4.0,1.0
6328,51,2.0,1.0,1.0,3.0,2.0
1503,19,0.0,2.0,1.0,0.0,0.0
3802,48,1.0,1.0,2.0,4.0,1.0
8424,32,1.0,1.0,1.0,4.0,2.0
6164,57,1.0,1.0,2.0,4.0,3.0
5371,62,0.0,1.0,2.0,2.0,3.0
5912,41,2.0,1.0,1.0,0.0,3.0
7,38,0.0,2.0,0.0,0.0,1.0
7962,58,0.0,2.0,2.0,3.0,0.0
3189,32,1.0,1.0,1.0,3.0,1.0
1503,31,0.0,1.0,1.0,4.0,0.0
3824,59,1.0,2.0,1.0,3.0,2.0
3697,27,2.0,1.0,2.0,4.0,1.0
7808,26,0.0,0.0,2.0,1.0,3.0
8965,25,0.0,1.0,0.0,2.0,1.0
3333,30,2.0,2.0,2.0,3.0,1.0
8459,38,2.0,2.0,0.0,1.0,2.0
1464,29,1.0,2.0,1.0,3.0,0.0
2573,27,1.0,1.0,1.0,0.0,2.0
8240,58,0.0,0.0,1.0,0.0,0.0
670,22,2.0,0.0,2.0,3.0,0.0
1658,27,0.0,1.0,1.0,2.0,3.0
7828,29,0.0,2.0,0.0,2.0,2.0
7099,22,0.0,1.0,2.0,4.0,1.0
8252,39,1.0,2.0,0.0,0.0,3.0
4021,38,2.0,1.0,1.0,1.0,2.0
6467,30,2.0,0.0,1.0,4.0,2.0
2129,46,2.0,2.0,0.0,1.0,1.0
9227,36,0.0,1.0,2.0,1.0,2.0
7615,37,1.0,2.0,1.0,4.0,1.0
9892,51,0.0,2.0,1.0,1.0,1.0
6849,24,1.0,1.0,2.0,1.0,3.0
6771,33,1.0,0.0,1.0,3.0,2.0
8862,29,1.0,1.0,1.0,0.0,0.0
3308,61,1.0,2.0,2.0,3.0,3.0
1253,36,0.0,0.0,0.0,3.0,2.0
4266,45,0.0,0.0,0.0,2.0,2.0
1141,37,1.0,0.0,0.0,1.0,0.0
9070,38,2.0,2.0,0.0,0.0,2.0
1914,42,1.0,2.0,0.0,3.0,3.0
2311,41,2.0,0.0,0.0,3.0,1.0
2239,25,0.0,2.0,0.0,0.0,2.0
4853,49,0.0,2.0,0.0,3.0,0.0
1630,32,0.0,2.0,1.0,0.0,0.0
3245,40,2.0,0.0,1.0,3.0,0.0
2645,48,2.0,2.0,0.0,0.0,1.0
2602,30,0.0,2.0,0.0,3.0,0.0
1931,52,2.0,1.0,0.0,3.0,3.0
8245,57,0.0,1.0,2.0,4.0,3.0
8274,25,0.0,1.0,0.0,1.0,2.0
1539,43,1.0,1.0,0.0,0.0,1.0
5569,35,2.0,1.0,0.0,2.0,0.0
2602,61,0.0,0.0,1.0,3.0,0.0
7,38,0.0,2.0,0.0,2.0,1.0
8081,38,0.0,2.0,0.0,1.0,3.0
5647,46,0.0,2.0,1.0,1.0,2.0
2654,24,0.0,1.0,1.0,1.0,2.0
4863,47,2.0,1.0,0.0,3.0,2.0
7458,59,1.0,0.0,0.0,4.0,3.0
