id,full_name,age,click,gender,device_type,ad_position,browsing_history,time_of_day
3044,User3044,41,1.0,Male,Desktop,Top,Entertainment,Evening
5912,User5912,41,1.0,Non-Binary,Mobile,Side,Education,Night
5418,User5418,34,1.0,Male,Desktop,Bottom,Entertainment,Evening
9452,User9452,39,0.0,Non-Binary,Desktop,Bottom,Social Media,Morning
5942,User5942,32,1.0,Non-Binary,Mobile,Bottom,Social Media,Evening
4509,User4509,41,1.0,Non-Binary,Tablet,Bottom,Education,Afternoon
2595,User2595,37,1.0,Male,Desktop,Bottom,Social Media,Morning
7466,User7466,47,1.0,Male,Mobile,Bottom,News,Afternoon
2023,User2023,19,1.0,Male,Desktop,Top,Shopping,Afternoon
7529,User7529,37,0.0,Male,Mobile,Top,Entertainment,Afternoon
8127,User8127,39,1.0,Male,Tablet,Bottom,Shopping,Night
2124,User2124,39,1.0,Male,Desktop,Top,Entertainment,Evening
7335,User7335,24,0.0,Non-Binary,Tablet,Side,Entertainment,Night
5569,User5569,35,1.0,Non-Binary,Mobile,Bottom,News,Afternoon
2272,User2272,52,1.0,Male,Tablet,Bottom,News,Morning
2722,User2722,39,1.0,Non-Binary,Desktop,Top,Entertainment,Evening
9789,User9789,36,1.0,Male,Tablet,Side,Social Media,Morning
5055,User5055,45,1.0,Male,Desktop,Top,Education,Morning
6724,User6724,37,1.0,Female,Desktop,Top,Entertainment,Evening
7361,User7361,36,0.0,Female,Mobile,Top,Entertainment,Afternoon
1524,User1524,24,1.0,Female,Mobile,Bottom,Education,Night
2542,User2542,58,1.0,Non-Binary,Mobile,Side,Education,Evening
119,User119,59,1.0,Non-Binary,Tablet,Top,Shopping,Night
5881,User5881,26,1.0,Non-Binary,Tablet,Top,Education,Morning
9642,User9642,47,1.0,Non-Binary,Tablet,Bottom,Shopping,Evening
1171,User1171,35,1.0,Non-Binary,Mobile,Bottom,News,Night
1612,User1612,40,1.0,Non-Binary,Mobile,Side,News,Evening
9586,User9586,44,0.0,Non-Binary,Desktop,Top,Shopping,Afternoon
120,User120,33,0.0,Non-Binary,Desktop,Side,Entertainment,Night
6143,User6143,35,1.0,Female,Mobile,Bottom,Education,Afternoon
5301,User5301,53,1.0,Male,Desktop,Side,Social Media,Night
5439,User5439,38,1.0,Male,Tablet,Side,Social Media,Afternoon
4525,User4525,22,0.0,Female,Mobile,Top,Entertainment,Afternoon
6153,User6153,30,1.0,Non-Binary,Mobile,Side,Entertainment,Night
7498,User7498,34,1.0,Male,Mobile,Side,Shopping,Afternoon
2244,User2244,42,0.0,Male,Mobile,Top,Shopping,Evening
9590,User9590,41,0.0,Non-Binary,Tablet,Side,Shopping,Morning
4957,User4957,58,1.0,Male,Desktop,Bottom,Social Media,Evening
6935,User6935,36,0.0,Male,Mobile,Side,Entertainment,Morning
2431,User2431,54,1.0,Male,Desktop,Top,Social Media,Night
3164,User3164,24,1.0,Female,Desktop,Bottom,Shopping,Evening
1524,User1524,24,1.0,Male,Mobile,Bottom,Education,Night
7674,User7674,35,1.0,Male,Mobile,Bottom,News,Afternoon
9996,User9996,48,0.0,Female,Desktop,Top,Shopping,Evening
2973,User2973,27,1.0,Non-Binary,Tablet,Bottom,Social Media,Night
7065,User7065,57,1.0,Male,Desktop,Side,Social Media,Morning
9412,User9412,46,1.0,Male,Mobile,Bottom,Social Media,Morning
6121,User6121,54,0.0,Male,Desktop,Top,News,Afternoon
487,User487,28,1.0,Male,Mobile,Side,Social Media,Afternoon
3266,User3266,46,1.0,Male,Tablet,Top,News,Afternoon
8996,User8996,22,0.0,Female,Desktop,Top,Entertainment,Evening
503,User503,43,1.0,Non-Binary,Desktop,Side,Social Media,Morning
4581,User4581,51,0.0,Female,Tablet,Top,Education,Night
3266,User3266,46,1.0,Male,Tablet,Top,News,Afternoon
8956,User8956,49,1.0,Male,Tablet,Bottom,News,Morning
9990,User9990,49,1.0,Male,Desktop,Side,News,Night
7426,User7426,28,0.0,Male,Mobile,Side,Shopping,Night
6100,User6100,38,1.0,Male,Desktop,Bottom,Education,Morning
7866,User7866,51,1.0,Female,Mobile,Top,Social Media,Morning
7917,User7917,36,0.0,Non-Binary,Tablet,Side,Entertainment,Afternoon
63,User63,40,0.0,Female,Tablet,Top,Social Media,Morning
5340,User5340,19,0.0,Female,Mobile,Side,Social Media,Night
7545,User7545,25,0.0,Male,Tablet,Side,News,Evening
3746,User3746,35,1.0,Male,Desktop,Side,Entertainment,Morning
1665,User1665,19,0.0,Non-Binary,Mobile,Bottom,Social Media,Afternoon
1762,User1762,41,1.0,Male,Desktop,Side,Entertainment,Afternoon
4086,User4086,54,1.0,Female,Desktop,Top,Entertainment,Morning
9896,User9896,45,0.0,Female,Desktop,Side,Education,Afternoon
571,User571,52,0.0,Male,Tablet,Bottom,Social Media,Afternoon
7591,User7591,31,0.0,Male,Desktop,Top,Social Media,Night
5531,User5531,34,1.0,Male,Desktop,Top,News,Night
5419,User5419,30,1.0,Male,Tablet,Top,Entertainment,Morning
9921,User9921,41,0.0,Female,Desktop,Side,Education,Night
9992,User9992,36,1.0,Male,Desktop,Side,Shopping,Evening
9153,User9153,61,0.0,Non-Binary,Tablet,Bottom,Shopping,Morning
2096,User2096,48,1.0,Non-Binary,Desktop,Top,Shopping,Night
