id,full_name,age,gender,device_type,ad_position,browsing_history,time_of_day,click
670,User670,22,Male,Desktop,Top,Shopping,Afternoon,1.0
3044,User3044,41,Male,Desktop,Top,Entertainment,Evening,1.0
5912,User5912,41,Non-Binary,Mobile,Side,Education,Night,1.0
5418,User5418,34,Male,Desktop,Bottom,Entertainment,Evening,1.0
9452,User9452,39,Non-Binary,Desktop,Bottom,Social Media,Morning,0.0
5942,User5942,32,Non-Binary,Mobile,Bottom,Social Media,Evening,1.0
7808,User7808,26,Female,Desktop,Top,Shopping,Night,1.0
5065,User5065,40,Male,Mobile,Side,Education,Evening,0.0
7993,User7993,32,Non-Binary,Mobile,Bottom,Social Media,Morning,1.0
4509,User4509,41,Non-Binary,Tablet,Bottom,Education,Afternoon,1.0
2595,User2595,37,Male,Desktop,Bottom,Social Media,Morning,1.0
7466,User7466,47,Male,Mobile,Bottom,News,Afternoon,1.0
8171,User8171,47,Non-Binary,Mobile,Side,Education,Afternoon,0.0
2023,User2023,19,Male,Desktop,Top,Shopping,Afternoon,1.0
973,User973,36,Male,Mobile,Top,Entertainment,Morning,1.0
7529,User7529,37,Male,Mobile,Top,Entertainment,Afternoon,0.0
8127,User8127,39,Male,Tablet,Bottom,Shopping,Night,1.0
188,User188,56,Female,Tablet,Bottom,News,Morning,1.0
2124,User2124,39,Male,Desktop,Top,Entertainment,Evening,1.0
7335,User7335,24,Non-Binary,Tablet,Side,Entertainment,Night,0.0
5569,User5569,35,Non-Binary,Mobile,Bottom,News,Afternoon,1.0
2272,User2272,52,Male,Tablet,Bottom,News,Morning,1.0
2722,User2722,39,Non-Binary,Desktop,Top,Entertainment,Evening,1.0
316,User316,42,Male,Desktop,Top,Education,Night,1.0
9789,User9789,36,Male,Tablet,Side,Social Media,Morning,1.0
4890,User4890,43,Male,Tablet,Bottom,Education,Afternoon,1.0
4994,User4994,62,Non-Binary,Mobile,Top,News,Night,0.0
5055,User5055,45,Male,Desktop,Top,Education,Morning,1.0
6724,User6724,37,Female,Desktop,Top,Entertainment,Evening,1.0
8253,User8253,44,Non-Binary,Desktop,Bottom,Entertainment,Afternoon,1.0
4945,User4945,31,Female,Tablet,Top,Social Media,Morning,1.0
1729,User1729,26,Female,Mobile,Top,Education,Afternoon,1.0
6862,User6862,43,Male,Tablet,Side,Entertainment,Night,1.0
4985,User4985,37,Male,Mobile,Top,News,Evening,0.0
7361,User7361,36,Female,Mobile,Top,Entertainment,Afternoon,0.0
1524,User1524,24,Female,Mobile,Bottom,Education,Night,1.0
2542,User2542,58,Non-Binary,Mobile,Side,Education,Evening,1.0
119,User119,59,Non-Binary,Tablet,Top,Shopping,Night,1.0
5881,User5881,26,Non-Binary,Tablet,Top,Education,Morning,1.0
9642,User9642,47,Non-Binary,Tablet,Bottom,Shopping,Evening,1.0
1171,User1171,35,Non-Binary,Mobile,Bottom,News,Night,1.0
1612,User1612,40,Non-Binary,Mobile,Side,News,Evening,1.0
9586,User9586,44,Non-Binary,Desktop,Top,Shopping,Afternoon,0.0
7661,User7661,48,Non-Binary,Mobile,Side,News,Night,1.0
4228,User4228,52,Male,Desktop,Side,Social Media,Morning,1.0
5574,User5574,52,Female,Desktop,Bottom,Social Media,Afternoon,1.0
120,User120,33,Non-Binary,Desktop,Side,Entertainment,Night,0.0
6143,User6143,35,Female,Mobile,Bottom,Education,Afternoon,1.0
301,User301,59,Male,Tablet,Side,Social Media,Evening,1.0
5301,User5301,53,Male,Desktop,Side,Social Media,Night,1.0
5439,User5439,38,Male,Tablet,Side,Social Media,Afternoon,1.0
9806,User9806,58,Male,Tablet,Bottom,News,Evening,1.0
9888,User9888,49,Male,Mobile,Top,News,Morning,1.0
4525,User4525,22,Female,Mobile,Top,Entertainment,Afternoon,0.0
6153,User6153,30,Non-Binary,Mobile,Side,Entertainment,Night,1.0
7498,User7498,34,Male,Mobile,Side,Shopping,Afternoon,1.0
9736,User9736,46,Male,Desktop,Bottom,Education,Evening,1.0
2244,User2244,42,Male,Mobile,Top,Shopping,Evening,0.0
4952,User4952,41,Female,Tablet,Side,News,Night,0.0
4855,User4855,38,Non-Binary,Desktop,Top,Education,Evening,0.0
9590,User9590,41,Non-Binary,Tablet,Side,Shopping,Morning,0.0
813,User813,52,Female,Tablet,Top,Education,Morning,1.0
4957,User4957,58,Male,Desktop,Bottom,Social Media,Evening,1.0
9431,User9431,20,Non-Binary,Mobile,Top,Entertainment,Afternoon,1.0
6935,User6935,36,Male,Mobile,Side,Entertainment,Morning,0.0
2431,User2431,54,Male,Desktop,Top,Social Media,Night,1.0
3164,User3164,24,Female,Desktop,Bottom,Shopping,Evening,1.0
4756,User4756,59,Non-Binary,Mobile,Bottom,Education,Evening,1.0
1524,User1524,24,Male,Mobile,Bottom,Education,Night,1.0
7674,User7674,35,Male,Mobile,Bottom,News,Afternoon,1.0
6251,User6251,44,Non-Binary,Mobile,Side,Shopping,Morning,1.0
6751,User6751,43,Female,Tablet,Side,Entertainment,Evening,0.0
9996,User9996,48,Female,Desktop,Top,Shopping,Evening,0.0
2973,User2973,27,Non-Binary,Tablet,Bottom,Social Media,Night,1.0
6315,User6315,58,Male,Desktop,Top,Shopping,Afternoon,1.0
7065,User7065,57,Male,Desktop,Side,Social Media,Morning,1.0
9412,User9412,46,Male,Mobile,Bottom,Social Media,Morning,1.0
3458,User3458,49,Non-Binary,Tablet,Bottom,Education,Night,0.0
6121,User6121,54,Male,Desktop,Top,News,Afternoon,0.0
487,User487,28,Male,Mobile,Side,Social Media,Afternoon,1.0
3266,User3266,46,Male,Tablet,Top,News,Afternoon,1.0
5574,User5574,52,Female,Desktop,Bottom,Shopping,Afternoon,1.0
6553,User6553,36,Male,Desktop,Bottom,Education,Morning,1.0
8996,User8996,22,Female,Desktop,Top,Entertainment,Evening,0.0
503,User503,43,Non-Binary,Desktop,Side,Social Media,Morning,1.0
4581,User4581,51,Female,Tablet,Top,Education,Night,0.0
3266,User3266,46,Male,Tablet,Top,News,Afternoon,1.0
8956,User8956,49,Male,Tablet,Bottom,News,Morning,1.0
9990,User9990,49,Male,Desktop,Side,News,Night,1.0
7426,User7426,28,Male,Mobile,Side,Shopping,Night,0.0
6100,User6100,38,Male,Desktop,Bottom,Education,Morning,1.0
3543,User3543,37,Female,Desktop,Top,Social Media,Night,1.0
7866,User7866,51,Female,Mobile,Top,Social Media,Morning,1.0
7917,User7917,36,Non-Binary,Tablet,Side,Entertainment,Afternoon,0.0
63,User63,40,Female,Tablet,Top,Social Media,Morning,0.0
5340,User5340,19,Female,Mobile,Side,Social Media,Night,0.0
2907,User2907,38,Male,Mobile,Side,News,Morning,0.0
7545,User7545,25,Male,Tablet,Side,News,Evening,0.0
3746,User3746,35,Male,Desktop,Side,Entertainment,Morning,1.0
6906,User6906,31,Male,Mobile,Top,Entertainment,Morning,1.0
1665,User1665,19,Non-Binary,Mobile,Bottom,Social Media,Afternoon,0.0
1762,User1762,41,Male,Desktop,Side,Entertainment,Afternoon,1.0
8201,User8201,59,Female,Desktop,Bottom,Social Media,Morning,0.0
4086,User4086,54,Female,Desktop,Top,Entertainment,Morning,1.0
9896,User9896,45,Female,Desktop,Side,Education,Afternoon,0.0
1503,User1503,19,Female,Tablet,Side,Shopping,Afternoon,1.0
571,User571,52,Male,Tablet,Bottom,Social Media,Afternoon,0.0
7591,User7591,31,Male,Desktop,Top,Social Media,Night,0.0
5531,User5531,34,Male,Desktop,Top,News,Night,1.0
5419,User5419,30,Male,Tablet,Top,Entertainment,Morning,1.0
9921,User9921,41,Female,Desktop,Side,Education,Night,0.0
5338,User5338,51,Male,Mobile,Top,Social Media,Morning,1.0
5821,User5821,31,Female,Desktop,Bottom,Education,Morning,0.0
4890,User4890,43,Male,Tablet,Bottom,Education,Afternoon,1.0
9992,User9992,36,Male,Desktop,Side,Shopping,Evening,1.0
9153,User9153,61,Non-Binary,Tablet,Bottom,Shopping,Morning,0.0
2096,User2096,48,Non-Binary,Desktop,Top,Shopping,Night,1.0
4777,User4777,37,Female,Tablet,Side,News,Morning,0.0
6683,User6683,39,Female,Tablet,Top,Social Media,Night,1.0
6880,User6880,38,Female,Mobile,Side,News,Night,1.0
2021,User2021,41,Female,Mobile,Top,Education,Night,1.0
5986,User5986,32,Male,Desktop,Side,Education,Afternoon,0.0
5484,User5484,64,Female,Mobile,Side,Education,Morning,0.0
8948,User8948,25,Female,Mobile,Bottom,Education,Evening,1.0
3109,User3109,52,Male,Desktop,Side,Entertainment,Morning,1.0
3042,User3042,29,Female,Mobile,Side,Social Media,Afternoon,1.0
3225,User3225,23,Female,Tablet,Bottom,Entertainment,Morning,1.0
3801,User3801,26,Non-Binary,Desktop,Side,Shopping,Evening,1.0
1190,User1190,42,Non-Binary,Tablet,Bottom,Education,Afternoon,1.0
1077,User1077,26,Non-Binary,Desktop,Top,Entertainment,Afternoon,1.0
3062,User3062,34,Male,Desktop,Bottom,Entertainment,Evening,1.0
6060,User6060,34,Female,Desktop,Top,News,Morning,0.0
4697,User4697,54,Male,Mobile,Side,Entertainment,Afternoon,1.0
6849,User6849,39,Female,Mobile,Top,Shopping,Night,1.0
1908,User1908,26,Female,Mobile,Top,Entertainment,Afternoon,1.0
5703,User5703,55,Female,Tablet,Side,Shopping,Night,0.0
4856,User4856,21,Male,Desktop,Top,Social Media,Evening,0.0
1197,User1197,62,Male,Mobile,Top,Social Media,Night,1.0
9307,User9307,54,Non-Binary,Mobile,Bottom,Social Media,Evening,0.0
8683,User8683,26,Female,Desktop,Side,Education,Evening,0.0
820,User820,39,Non-Binary,Mobile,Side,Social Media,Afternoon,0.0
6315,User6315,58,Non-Binary,Desktop,Top,Social Media,Afternoon,1.0
8010,User8010,24,Female,Desktop,Top,Shopping,Afternoon,0.0
2364,User2364,54,Female,Tablet,Side,Entertainment,Afternoon,0.0
4507,User4507,42,Non-Binary,Mobile,Bottom,News,Morning,0.0
1549,User1549,58,Male,Desktop,Top,Entertainment,Afternoon,1.0
4630,User4630,19,Non-Binary,Tablet,Side,Shopping,Evening,0.0
3577,User3577,58,Non-Binary,Desktop,Side,Social Media,Afternoon,0.0
5845,User5845,30,Male,Tablet,Bottom,Shopping,Morning,0.0
8253,User8253,57,Non-Binary,Desktop,Bottom,Entertainment,Night,1.0
5418,User5418,43,Male,Tablet,Top,Social Media,Morning,1.0
255,User255,31,Non-Binary,Desktop,Bottom,Entertainment,Night,1.0
4621,User4621,20,Female,Desktop,Top,Social Media,Afternoon,1.0
1704,User1704,61,Female,Desktop,Bottom,Entertainment,Afternoon,1.0
118,User118,43,Female,Tablet,Bottom,Social Media,Night,0.0
8957,User8957,36,Female,Mobile,Top,Entertainment,Morning,1.0
3314,User3314,35,Female,Tablet,Top,News,Evening,0.0
5995,User5995,40,Male,Desktop,Top,News,Morning,0.0
3007,User3007,42,Male,Desktop,Top,Shopping,Night,0.0
1325,User1325,47,Female,Tablet,Side,Shopping,Evening,1.0
756,User756,35,Female,Desktop,Side,Shopping,Evening,0.0
5194,User5194,53,Male,Mobile,Top,Shopping,Afternoon,1.0
4611,User4611,20,Female,Tablet,Top,Social Media,Night,0.0
2023,User2023,19,Non-Binary,Desktop,Top,Entertainment,Morning,1.0
2565,User2565,37,Non-Binary,Desktop,Bottom,Shopping,Night,0.0
2965,User2965,38,Non-Binary,Tablet,Top,Shopping,Evening,0.0
8041,User8041,35,Female,Mobile,Bottom,Social Media,Afternoon,1.0
6258,User6258,53,Female,Tablet,Top,Entertainment,Night,1.0
3375,User3375,52,Male,Mobile,Bottom,Education,Morning,1.0
7805,User7805,36,Male,Mobile,Top,Entertainment,Afternoon,0.0
3062,User3062,34,Male,Desktop,Bottom,Entertainment,Evening,1.0
6449,User6449,42,Female,Desktop,Top,Shopping,Night,1.0
9647,User9647,34,Non-Binary,Desktop,Side,Entertainment,Evening,0.0
5439,User5439,38,Non-Binary,Tablet,Side,Social Media,Afternoon,1.0
9400,User9400,41,Non-Binary,Mobile,Side,Education,Night,1.0
1914,User1914,42,Male,Tablet,Bottom,Shopping,Night,1.0
9732,User9732,27,Male,Desktop,Top,Education,Evening,0.0
5642,User5642,57,Female,Tablet,Bottom,News,Morning,0.0
9689,User9689,35,Male,Desktop,Bottom,Entertainment,Evening,1.0
7655,User7655,39,Male,Tablet,Bottom,Entertainment,Morning,0.0
5780,User5780,33,Female,Mobile,Bottom,Entertainment,Afternoon,1.0
2976,User2976,41,Male,Mobile,Top,Shopping,Afternoon,0.0
6262,User6262,47,Non-Binary,Desktop,Bottom,Entertainment,Morning,0.0
3663,User3663,46,Female,Mobile,Top,Social Media,Night,0.0
8103,User8103,46,Non-Binary,Mobile,Top,Social Media,Night,0.0
2757,User2757,35,Female,Mobile,Bottom,Social Media,Night,0.0
9136,User9136,28,Non-Binary,Desktop,Side,Shopping,Afternoon,1.0
6974,User6974,53,Male,Desktop,Side,Education,Evening,0.0
1486,User1486,27,Female,Desktop,Side,Entertainment,Morning,0.0
606,User606,33,Non-Binary,Mobile,Bottom,Entertainment,Afternoon,1.0
1612,User1612,40,Female,Mobile,Side,News,Evening,1.0
6438,User6438,53,Non-Binary,Tablet,Top,News,Night,1.0
3225,User3225,23,Female,Tablet,Bottom,Entertainment,Morning,1.0
9842,User9842,43,Non-Binary,Mobile,Top,Shopping,Afternoon,1.0
8817,User8817,42,Male,Tablet,Bottom,Shopping,Night,1.0
1020,User1020,51,Male,Mobile,Side,Education,Morning,1.0
1635,User1635,54,Female,Tablet,Top,News,Night,1.0
3776,User3776,34,Female,Mobile,Top,Social Media,Evening,0.0
5412,User5412,35,Non-Binary,Mobile,Top,Shopping,Evening,1.0
6989,User6989,28,Male,Mobile,Side,Shopping,Afternoon,1.0
8018,User8018,32,Female,Desktop,Side,Shopping,Night,1.0
2529,User2529,37,Female,Desktop,Bottom,Social Media,Afternoon,1.0
3285,User3285,42,Male,Tablet,Side,News,Evening,0.0
2156,User2156,46,Female,Tablet,Side,Social Media,Morning,1.0
8530,User8530,52,Female,Mobile,Top,Social Media,Afternoon,1.0
