iter	Logloss
0	0.6850853152
1	0.66875817952	0.672509241
3	3	0.6478368454
4	0.6368048995	5	0.628214466	06	0.621800690977	0.6126382025
8	0.607068941
9	0.5968074525
10	0.5918165115
11	0.5846769802
12	0.5801217187
13	0.5725378327
14	0.5669466271
15	0.5615332693
16	0.5565103686
17	0.5555155032
18	0.5503092963
19	0.5460267077
20	0.542955998
21	0.5364993117
22	0.5335084132
23	0.5296156746
24	0.5229650986
25	0.5202894865
26	0.5165933684
27	0.5148818031
28	0.5113785294
29	0.507358973330	0.5033865578
31	0.4998390932
32	0.4971849909
33	0.4939837813
34	0.4908577391
35	0.488963225
36	0.4841629777
37	0.4810094547
38	0.4786779671
39	0.4767091978
40	0.4746515141
41	0.4720504851
42	0.4685397829
43	0.4670080773
44	0.465200948
45	0.4633133288
46	0.4605480247
47	0.4584175059
48	0.456514692
49	0.4543005852
50	0.4522908266
51	0.4497795446
52	0.4469293916
53	0.4433515044
54	0.4415928269
55	0.4405850347
56	0.438312614
57	0.4366602323
58	0.4338800112
59	0.4321460472
60	0.4308623823
61	0.4275403927
62	0.4255739357
63	0.4243235538
64	0.4224277332
65	0.4201467406
66	0.4194417533
67	0.4175072106
68	0.4156748664
69	0.4142349541
70	0.4100225137
71	0.4078373472
72	0.4060745068
73	0.4049381514
74	0.4038109417
75	0.402583406
76	0.4018616613
77	0.3999845199
78	0.3981074085
79	0.3963133568
80	0.394964931
81	0.3937795519
82	0.3923160505
83	0.3909187277
84	0.3887280587
85	0.3875615699
86	0.3863251093
87	0.3851265718
88	0.3831208509
89	0.3817683723
90	0.3807732239
91	0.3797614482
92	0.3781992694
93	0.3771434792
9494	0.319751046995	0.3190358712
96	0.3182535447
97	0.3175189826
98	0.3166477532
99	0.3144969699
100	0.31368635341101	0.311792055102	0.3657538811
103	0.3647625156
104	0.3629890276
105	0.3606896547
106	0.3595057993
107	0.3577764742
108	0.3562933227
109	0.355217862
110	0.3540494511
111	0.353144393
112	0.3509586782
113	0.3500204882
114	0.3491996333
115	0.3480310477
116	0.3473550493
117	0.346321691
118	0.3454862496
119	0.344843067
120	0.3430115548
121	0.3417050335
122	0.3399524184
123	0.3389610461
124	0.3382054345
125	0.3370720751
126	0.336507164
127	0.3357693811
128	0.3350188124
129	0.3344630826
130	0.3338822841
131	0.3324764429
132	0.3319986302
133	0.3314687381
134	0.3303326922
135	0.3295402517
1136	0.27407341651137	0.2729720056
138	0.2716864765
139	0.2709162608
140	0.26959629814141	0.26814231514142	0.26748438114143	0.2666917468
144	0.26556751314145	0.2649496237
146	0.2636321115
147	0.2632099305
