iter	Passed	Remaining
0	51	31233
1	56	17053
22	190	383273	201	30355
4	208	25183
5	249	24990
6	264	2274977	467	35031
8	642	427649	852	51004
110	839	45560111	930	46202112	1005	46041
13	1028	43625
14	1033	40857
15	1093	40474
16	1097	3816117	1211	39712
18	1368	42433
19	1400	41182
20	1406	39323
21	1545	41162
22	1582	40262
23	1688	41089
24	1715	40004
25	1824	40835
26	1828	39357
27	1872	38789
28	1878	37504
29	1881	36248
330	1804	33578
31	1896	34128
32	1991	34705
33	2255	38083
34	2261	37029
35	2368	37635
36	2439	37648
37	2488	37320
38	2571	37512
39	2651	37650
40	2680	37073
41	2686	36200
42	2801	36809
43	2822	36178
44	2957	37002
45	2970	36290
46	2978	35547
47	3016	35194
48	3023	34489
49	3152	35185
50	3222	35193
51	3264	34908
52	3271	34258
53	3525	36166
54	3582	36024
55	3586	35353
56	3590	34708
57	3701	35101
58	3913	36415
59	4105	37499
60	4113	36887
61	4123	36311
62	4205	36378
63	4317	36702
64	4385	36634
65	4504	36993
66	4511	36425
67	4606	36582
68	4641	36253
69	4682	35987
70	4756	35973
71	4921	36635
72	4987	36551
73	5050	36447
74	5055	35927
75	5226	36583
76	5513	38018
77	5552	37730
78	5598	37491
79	5616	37065
80	5619	36561
81	5623	36071
82	5626	35590
83	5632	35136
84	5639	34698
85	5740	34843
86	5744	34401
87	5759	34034
88	5765	33621
89	5795	33358
90	5810	33010
9192	8004	44329293	8027	43899394	8070	43581
95	8212	43799
96	8342	43950
97	8350	43457
98	8450	43445
99	8523	43298
100	8579	43064
101	8625	42790
102	8638	423102	6655	32632
103	6858	33236
104	6867	32898
105	6871	32543
106	6875	32194
107108	8989	411108	7041	32236
109	7167	32448
110	7175	32128
111	7262	32163
112	7268	31840
113	7277	31537
114	7317	31368
115	7354	31191
116	7363	30899
117	7391	30693
118	7460	30657
119	7534	30640
120	7611	30632
121	7618	30347
122	7624	30062
123	7670	29941
124	7827	30244
125	7840	29991
126	7905	29942
127	7911	29667
128	7971	29598
129	8048	29595
130	8056	29334
131	8148	29382
132	8178	29209
133	818134	1031134	8300	29081
135	8306	136	10525	36185
137	10581	36037
138	10723	36181
139	10770	36003
140	10788	35733
141	10879	35704
142	10943	355851143	10958	35309
144	10977	350145145	10998	34803
146	11037	34614
147	11043	34325
148	11121149	906149	1113150	9220	27905
151	9361	28083
152	9442	28081
153	9518	28059
154	9526	27842
155	9605	27831
156	9613	27615
157	9648	27480
158	9656	27268
159	9701	27164
160	9758	27092
161	9768	26894
162	9777	26692
163	9792	26511
164	9847	26438
165	9856	26245
166	9928	26218
167	9934	26018
168	9942	25825
169	10066	25937
170	10176	26006
171	10217	25899
172	10430	26225
173	10478	26137
174	10528	26049
175	10568	25941
176	10572	25743
177	10666	25768
178	10710	25670
179	10755	25575
180	10772	25414
181	10805	25292
182	10924	25370
183	10976	25293
184	10981	25109
185	10986	24926
186	10999	24763
187	11004	24585
188	11010	24410
189	11042	24293
190	11118	24274
191	11196190	131192	11233191	13282	28777
192	13317	28636
193	13451	28706
194	13585	28772
195	13662	28718
196	13745	28676
197	13749	28471
198	13871	28510
199	13888	28332
200	14158	28670
201	14168	28477
202	14208	28347
203	14215	28153
204	14223	27960
205	14344	27992
206	14501	28093
207	14615	28106
208	14622	27916
209	14797	28044
210	14863	27966
211	14871	27779
212	15043	27898
213	15057	27722
214	15127	27651
215	15231	27641
216	15241	27462
217	15335	27435
218	15434	27415
219	15441	27233
220	15468	27087
221	15516	26979
222	15575	26890
223	15638	26809
224	15765	26835
225	15833	26763
226	15840	26586
227	15976	26626
228	16078	26610
229	16083	26432
230	16254	26528
231	16327	26462
232	16386	26373
233	16403	26217
234	16409	26046
235	16424	25889
236	16502	25833
237	16513	25672
238	16517	25502
239	16560	25392
240	16594	25270
241	16654	25188
242	16686	25064
243	16696	24907
244	16855	24973
245	16912	24887
246	16934	24750
247	16942	24594
248	17070	24611
249	17086	24467
250	17120	24351
251	17199	24297
252	17311	24290
253	17363	24199
254	17477	24194
255	17529	24102
256	17536	23951
257	17624	23909
258	17649	23782
259	17655	23631
260	17888	23782
261	17924	23671
262	17954	23552
263	18009	23466
264	18029	23336
265	18062	23223
266	18068	23075
267	18072	22927
268	18125	22842
269	18130	22697
270	18135	22552
271	18140	22409
272	18190	22321
273	18208	22195
274	18242	22090
275	18309	22024
276	18348	21925
277	18388	21827
278	18451	21758
279	18457	21621
280	18519	21551
281	18652	21563
282	18697	21472
283	18803	21451
284	18852	21365
285	18902	21281
286	18941	21185
287	18948	21054
288	19001	20973
289	19139	20987
290	19263	20984
291	19291	20877
292	19297	20746
293	19381	20700
294	19388	20571
295	19398	20446
296	19405	20319
297	19488	20273
298	19495	20147
299	19536	20057
300	19548	19938
301	19564	19823
302	19572	19701
303	19622	19622
304	19646	19517
305	19692	19435
306	19724	19338
307	19753	19240
308	19801	19160
309	19826	19058
310	19834	18941
311	19864	18845
312	19885	18741
313	19890	18623
314	19925	18533
315	19952	18437
316	19960	18323
317	19971	18212
318	19980	18101
319	19988	17989
320	19996	17878
321	20012	17775
322	20020	17665
323	20039	17565
324	20045	17455
325	20054	17347
326	20084	17259
327	20101	17160
328	20106	17050
329	20109	16940
330	20190	16896
331	20196	16789
332	20201	16682
333	20207	16577
334	20254	16505
335	20260	16401
336	20272	16302
337	20278	16198
338	20285	16096
339	20325	16020
340	20329	15917
341	20335	15816
342	20375	15742
343	20429	15678
344	20463	15599
345	20473	15503
346	20477	15402
347	20507	15321
348	20514	15224
349	20521	15127
350	20527	15030
351	20568	14958
352	20651	14918
353	20674	14833
354	20782	14811
355	20810	14731
356	20815	14635
357	20858	14566
358	20866	14472
359	20869	14376
360	20910	14307
361	20929	14222
362	20959	14146
363	20974	14060
364	20979	13966
365	21000	13885
366	21067	13834
367	21116	13771
368	21148	13697
369	21154	13607
370	21178	13529
371	21202	13450
372	21208	13361
373	21234	13286
374	21267	13214
375	21274	13126
376	21298	13050
377	21338	12983
378	21342	12895
379	21348	12809
380	21368	12731
381	21406	12664
382	21435	12592
383	21504	12544
384	21550	12482
385	21608	12427
386	21676	12378
387	21717	12314
388	21772	12257
389	21794	12182
390	21799	12098
391	21860	12045
