full_name,age,click,gender,device_type,ad_position,browsing_history,time_of_day
User10,42,0.0,Female,Tablet,Side,News,Evening
User100,42,0.0,Non-Binary,Tablet,Top,Social Media,Morning
User1000,42,0.0,Female,Desktop,Side,Entertainment,Afternoon
User10000,33,0.0,Female,Desktop,Bottom,News,Afternoon
User1001,23,0.0,Non-Binary,Tablet,Top,Shopping,Night
User1002,28,0.0,Male,Mobile,Top,Education,Afternoon
User1011,42,0.0,Male,Mobile,Top,News,Night
User1012,56,0.0,Non-Binary,Mobile,Side,Education,Night
User1014,42,0.0,Non-Binary,Tablet,Bottom,Shopping,Afternoon
User1017,42,0.0,Female,Mobile,Top,Shopping,Night
User1019,36,0.0,Male,Tablet,Top,Social Media,Night
User1020,39,1.0,Male,Mobile,Side,Education,Morning
User1021,47,0.0,Non-Binary,Mobile,Side,News,Morning
User1027,55,0.0,Female,Mobile,Bottom,Entertainment,Night
User1029,42,0.0,Male,Mobile,Bottom,Shopping,Night
User1033,42,0.0,Female,Tablet,Bottom,Entertainment,Night
User1034,42,0.0,Male,Desktop,Side,Shopping,Morning
User1036,42,0.0,Male,Tablet,Top,Social Media,Night
User1041,37,1.0,Non-Binary,Mobile,Side,Entertainment,Morning
User1047,47,0.0,Non-Binary,Mobile,Bottom,Shopping,Evening
User105,42,0.0,Non-Binary,Desktop,Side,Entertainment,Evening
User1051,43,0.0,Female,Tablet,Bottom,Shopping,Night
User1052,42,0.0,Male,Mobile,Top,Education,Night
User1053,50,0.0,Non-Binary,Tablet,Bottom,Entertainment,Night
User1056,42,0.0,Male,Desktop,Top,Entertainment,Afternoon
User1064,42,0.0,Male,Desktop,Bottom,News,Morning
User1067,61,0.0,Male,Tablet,Bottom,Education,Afternoon
User1068,54,0.0,Non-Binary,Tablet,Top,Entertainment,Evening
User1069,42,0.0,Female,Desktop,Top,Shopping,Night
User1071,61,0.0,Female,Mobile,Side,Shopping,Evening
User1072,42,0.0,Non-Binary,Desktop,Top,Social Media,Afternoon
User1077,39,1.0,Non-Binary,Desktop,Top,News,Afternoon
User1079,46,0.0,Female,Desktop,Side,Education,Night
User108,42,0.0,Non-Binary,Tablet,Bottom,Education,Afternoon
User1084,42,0.0,Female,Desktop,Side,Education,Afternoon
User109,35,0.0,Non-Binary,Tablet,Bottom,Social Media,Morning
User1090,42,0.0,Non-Binary,Mobile,Top,Shopping,Afternoon
User1091,42,0.0,Female,Tablet,Top,Shopping,Evening
User1096,44,0.0,Non-Binary,Tablet,Side,Entertainment,Evening
User1099,36,0.0,Male,Tablet,Top,Shopping,Night
User110,22,0.0,Non-Binary,Desktop,Bottom,News,Afternoon
User1101,42,0.0,Non-Binary,Mobile,Bottom,Shopping,Morning
User1104,47,0.0,Non-Binary,Desktop,Bottom,Entertainment,Evening
User111,31,0.0,Male,Mobile,Top,Education,Morning
User1110,43,0.0,Non-Binary,Mobile,Side,Entertainment,Evening
User1113,60,0.0,Non-Binary,Desktop,Bottom,Social Media,Morning
User1116,42,0.0,Female,Desktop,Bottom,Entertainment,Morning
User1117,42,0.0,Female,Mobile,Top,News,Afternoon
User1118,30,0.0,Female,Tablet,Side,Entertainment,Night
User112,42,0.0,Male,Tablet,Top,Social Media,Evening
User1121,42,0.0,Non-Binary,Desktop,Top,News,Evening
User1122,49,1.0,Non-Binary,Tablet,Top,Entertainment,Morning
User1123,42,0.0,Non-Binary,Desktop,Side,Education,Night
User1126,31,1.0,Female,Tablet,Side,Social Media,Afternoon
User1127,39,1.0,Non-Binary,Desktop,Side,Shopping,Afternoon
User1129,42,0.0,Male,Mobile,Bottom,Entertainment,Night
User1130,42,0.0,Male,Mobile,Bottom,Shopping,Evening
User1131,46,0.0,Male,Desktop,Top,Shopping,Night
User1136,58,1.0,Female,Mobile,Side,Social Media,Morning
User1137,42,0.0,Female,Tablet,Bottom,Entertainment,Evening
User1138,33,0.0,Female,Desktop,Side,Social Media,Morning
User114,38,0.0,Non-Binary,Desktop,Side,Entertainment,Night
User1140,28,0.0,Male,Mobile,Side,Shopping,Evening
User1141,37,1.0,Male,Desktop,Bottom,News,Afternoon
User1143,42,0.0,Female,Mobile,Top,Education,Night
User1144,53,0.0,Female,Desktop,Bottom,Shopping,Evening
User1146,42,0.0,Female,Mobile,Side,Entertainment,Evening
User1148,25,1.0,Male,Mobile,Bottom,News,Afternoon
User115,42,0.0,Male,Tablet,Side,News,Night
User1152,27,0.0,Male,Mobile,Top,Social Media,Morning
User1153,49,0.0,Female,Tablet,Side,Shopping,Evening
User116,59,0.0,Female,Mobile,Top,Education,Afternoon
User1160,48,0.0,Female,Desktop,Side,Education,Afternoon
User1162,42,0.0,Female,Tablet,Side,Entertainment,Night
User1166,42,0.0,Female,Mobile,Side,Education,Evening
User1167,42,0.0,Male,Desktop,Top,Entertainment,Evening
User1169,42,0.0,Non-Binary,Tablet,Side,Entertainment,Evening
User1170,26,0.0,Male,Desktop,Bottom,Social Media,Afternoon
User1171,39,1.0,Female,Mobile,Bottom,Entertainment,Night
User1178,39,1.0,Male,Desktop,Bottom,News,Evening
User118,43,0.0,Female,Tablet,Bottom,Social Media,Night
User1180,42,0.0,Male,Mobile,Top,Social Media,Night
User1181,55,0.0,Male,Desktop,Side,Social Media,Morning
User1183,60,0.0,Male,Desktop,Bottom,Entertainment,Afternoon
User1187,52,0.0,Male,Mobile,Bottom,Social Media,Night
